model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,n_features,n_params,epochs,best_val_loss,elapsed_s,run_tag
model,0.7946318984031677,0.9268136024475098,2.666710503399372,6.038035452365875,7.876632142274556,0.9490932822227478,0.8557708263397217,0.8496443629264832,0.9531109929084778,0.3294646143913269,0.8306930065155029,4.936298355460167,3.6525502800941467,1.9035188481211662,4.928546026349068,0.2655812771990895,0.3137708641588688,100.0,100.0,100.0,1.0,6.979882982705021e-08,bands_indices_plain_gelu_L3_d256,0,search,bands_indices,plain,gelu,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,339206,120,0.405097,10.9,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8094468116760254,0.9266725182533264,2.6511631906032562,6.026658788323402,7.662455386299874,0.9482091665267944,0.8523694276809692,0.8369045853614807,0.9561166167259216,0.43201154470443726,0.8310567140579224,4.902367666363716,3.6755546927452087,1.9891390576958656,4.7994788736104965,0.2453634049743414,0.2950630150735378,100.0,100.0,100.0,1.0,7.06736571487454e-08,bands_indices_plain_gelu_L3_d512,0,search,bands_indices,plain,gelu,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,940550,120,0.403075,8.5,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.7983050346374512,0.9267653822898865,2.6498913764953613,6.033286452293396,7.849979457435784,0.9490704536437988,0.856218695640564,0.8390498161315918,0.9544538259506226,0.35142964124679565,0.8395933508872986,4.933478683233261,3.638564422726631,1.9295483827590942,4.833117872476578,0.2676132135093212,0.29702470637857914,100.0,100.0,100.0,1.0,7.022309489457257e-08,bands_indices_plain_gelu_L5_d256,0,search,bands_indices,plain,gelu,layernorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.404057,10.6,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.822690486907959,0.9297752380371094,2.6080071926116943,5.892186239361763,7.571108026551556,0.9507842063903809,0.8613722324371338,0.8507762551307678,0.9555301666259766,0.48797881603240967,0.8296882510185242,4.799570515751839,3.611084073781967,1.8982810899615288,4.775971919298172,0.26086473371833563,0.30228164978325367,100.0,100.0,100.0,1.0,7.002792301591398e-08,bands_indices_plain_gelu_L5_d512,0,search,bands_indices,plain,gelu,layernorm,5,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,1467910,120,0.402227,10.4,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8008584976196289,0.9266036152839661,2.6904255151748657,6.035315990447998,8.012998095784305,0.9479577541351318,0.8560771346092224,0.8531676530838013,0.9524837136268616,0.36533987522125244,0.8301108479499817,4.997269436717033,3.6842525005340576,1.9109103828668594,4.952368885278702,0.27255264576524496,0.3251818707212806,100.0,100.0,100.0,1.0,6.840393496077013e-08,bands_indices_plain_silu_L3_d256,0,search,bands_indices,plain,silu,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,339206,120,0.40461,8.8,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8057443499565125,0.9280617237091064,2.633601985871792,5.9757184237241745,7.7825038465250405,0.9493027329444885,0.85760498046875,0.8523415923118591,0.9542180299758911,0.3874342441558838,0.8335529565811157,4.895380139350891,3.624025359749794,1.876978576183319,4.841884970664978,0.2620156155899167,0.3013323526829481,100.0,100.0,100.0,1.0,6.984888045735715e-08,bands_indices_plain_silu_L3_d512,0,search,bands_indices,plain,silu,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,940550,120,0.403071,8.5,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8178016543388367,0.9291476607322693,2.655601315200329,5.912019684910774,7.91757893912991,0.948516845703125,0.8565783500671387,0.861729085445404,0.9552480578422546,0.44759345054626465,0.8371291756629944,4.971541464328766,3.666449710726738,1.8805202096700668,4.835176095366478,0.2745899837464094,0.3053612308576703,100.0,100.0,100.0,1.0,6.932158669314958e-08,bands_indices_plain_silu_L5_d256,0,search,bands_indices,plain,silu,layernorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.404636,10.6,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8349647521972656,0.9311648011207581,2.584422193467617,5.811033770442009,7.606816983487241,0.9505149722099304,0.8630681037902832,0.8631780743598938,0.9553912281990051,0.5403839349746704,0.8372392654418945,4.812458157539368,3.5613857209682465,1.807710900902748,4.781258478760719,0.24645959492772818,0.2972543006762862,100.0,100.0,100.0,1.0,6.941394303794368e-08,bands_indices_plain_silu_L5_d512,0,search,bands_indices,plain,silu,layernorm,5,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,1467910,120,0.402167,12.2,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.7857186794281006,0.9251651167869568,2.693472057580948,6.110192462801933,7.957653111318953,0.9468790292739868,0.8524266481399536,0.8442356586456299,0.9534146785736084,0.2861177921295166,0.8312230706214905,5.032552778720856,3.6643322557210922,1.9326578825712204,4.9427371472120285,0.2804764313623309,0.30807037837803364,100.0,100.0,100.0,1.0,6.950198638833172e-08,bands_indices_plain_relu_L3_d256,0,search,bands_indices,plain,relu,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,339206,120,0.405048,9.0,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8089890480041504,0.9243159294128418,2.667299658060074,6.112123653292656,7.65881276237859,0.9469054937362671,0.8483330011367798,0.8296071887016296,0.9542228579521179,0.44571226835250854,0.8291404247283936,4.9697790294885635,3.673805668950081,1.939588412642479,4.87891361117363,0.24254850577563047,0.2991515211760998,100.0,100.0,100.0,1.0,6.961501952673643e-08,bands_indices_plain_relu_L3_d512,0,search,bands_indices,plain,relu,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,940550,120,0.404129,9.2,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8218073844909668,0.9278998374938965,2.657768130302429,5.957110598683357,7.838955845669573,0.947150468826294,0.8570449948310852,0.8517156839370728,0.9550430774688721,0.486286461353302,0.8335860967636108,4.996097087860107,3.6442574113607407,1.8571710214018822,4.884852096438408,0.25510205887258053,0.3091434948146343,100.0,100.0,100.0,1.0,6.993637668983865e-08,bands_indices_plain_relu_L5_d256,0,search,bands_indices,plain,relu,layernorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.405201,11.4,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8104018568992615,0.9297102689743042,2.582087926566601,5.9065937995910645,7.391437810592061,0.9487469792366028,0.862522542476654,0.8550613522529602,0.956235945224762,0.40081870555877686,0.8390145897865295,4.8994362354278564,3.4907225519418716,1.79692842066288,4.783264175057411,0.23500288370996714,0.2871760632842779,100.0,100.0,100.0,1.0,7.022309489457257e-08,bands_indices_plain_relu_L5_d512,0,search,bands_indices,plain,relu,layernorm,5,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,1467910,120,0.404073,10.8,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8004117012023926,0.9268288016319275,2.683740295469761,6.028683111071587,8.015872712763612,0.948335587978363,0.855792760848999,0.851726770401001,0.9530733227729797,0.36294758319854736,0.8305802345275879,4.979021847248077,3.681841865181923,1.9136017188429832,4.929808527231216,0.2734146546572447,0.3247603075578809,100.0,100.0,100.0,1.0,6.842521571570614e-08,bands_indices_plain_mish_L3_d256,0,search,bands_indices,plain,mish,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,339206,120,0.404692,7.7,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8011251091957092,0.9279761910438538,2.6290908455848694,5.986054241657257,7.77643350579502,0.9492136240005493,0.8571704626083374,0.8517532348632812,0.9545621871948242,0.36081981658935547,0.8332197666168213,4.896532371640205,3.6215171217918396,1.8710929900407791,4.8231761902570724,0.26262111496180296,0.29960195533931255,100.0,100.0,100.0,1.0,7.023138692829889e-08,bands_indices_plain_mish_L3_d512,0,search,bands_indices,plain,mish,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,940550,120,0.403054,7.7,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8077254891395569,0.9285223484039307,2.65974011272192,5.953209474682808,7.918205194886851,0.9485193490982056,0.8570033311843872,0.8576785922050476,0.9549655914306641,0.39312201738357544,0.8350484371185303,4.972391948103905,3.6619506776332855,1.9003115594387054,4.844348505139351,0.27520740404725075,0.3042271826416254,100.0,100.0,100.0,1.0,6.867585256031816e-08,bands_indices_plain_mish_L5_d256,0,search,bands_indices,plain,mish,layernorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.40458,9.6,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8437325358390808,0.9313928484916687,2.582644671201706,5.787268653512001,7.613831731785742,0.9505844116210938,0.8633306622505188,0.86319899559021,0.9553947448730469,0.5940396785736084,0.8358333110809326,4.809252545237541,3.5595491528511047,1.8047867342829704,4.787863418459892,0.237241480499506,0.29717159923166037,100.0,100.0,100.0,1.0,7.029770188182738e-08,bands_indices_plain_mish_L5_d512,0,search,bands_indices,plain,mish,layernorm,5,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,1467910,120,0.402238,10.0,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.7736219763755798,0.9207353591918945,2.6779266074299812,6.284160166978836,7.431338085138214,0.9453681707382202,0.8395497798919678,0.8131080269813538,0.9542597532272339,0.25444453954696655,0.8349899649620056,4.932212829589844,3.748612105846405,1.9630886614322662,4.870354384183884,0.2643442712724209,0.2889561001211405,100.0,100.0,100.0,1.0,7.052929618112103e-08,bands_indices_plain_geglu_L3_d256,0,search,bands_indices,plain,geglu,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,675334,120,0.407211,8.5,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.805283784866333,0.924555242061615,2.6969358325004578,6.096873059868813,7.4690941645087605,0.9448056221008301,0.8505926132202148,0.8480255007743835,0.9523112177848816,0.39803260564804077,0.8379238843917847,4.994714632630348,3.754454106092453,1.888830028474331,4.9604833126068115,0.29416519682854414,0.2889586379751563,100.0,100.0,100.0,1.0,7.035981042236017e-08,bands_indices_plain_geglu_L3_d512,0,search,bands_indices,plain,geglu,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,1874950,120,0.407722,7.4,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8040353655815125,0.9232539534568787,2.687920071184635,6.146370992064476,7.604885622212367,0.9449628591537476,0.8449883460998535,0.8334643244743347,0.9534420967102051,0.4058951139450073,0.841443657875061,4.991757124662399,3.6969441920518875,1.9481776282191277,4.940779879689217,0.2631390932947397,0.28673047199845314,100.0,100.0,100.0,1.0,7.02935594176779e-08,bands_indices_plain_geglu_L5_d256,0,search,bands_indices,plain,geglu,layernorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,939526,120,0.408721,10.2,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8244175910949707,0.923753023147583,2.7487868443131447,6.097327545285225,7.580924818258461,0.9416629672050476,0.8508948087692261,0.8453654646873474,0.9525291919708252,0.5228345394134521,0.8332037925720215,5.221472680568695,3.8245663046836853,1.8221382051706314,5.057278648018837,0.2717877272516489,0.29547701124101877,100.0,100.0,100.0,1.0,6.914913797118061e-08,bands_indices_plain_geglu_L5_d512,0,search,bands_indices,plain,geglu,layernorm,5,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,2927622,120,0.411667,10.3,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8451237678527832,0.9329326152801514,2.659716457128525,5.72420097887516,8.817795007659736,0.9504033327102661,0.8685072064399719,0.8618380427360535,0.9575470685958862,0.5850645303726196,0.847374677658081,4.906565323472023,3.5697441548109055,1.9099047407507896,4.814323410391808,0.3657696768641472,0.39200768806040287,100.0,100.0,100.0,1.0,6.996135226700062e-08,bands_indices_plain_gelu_L3_d256_bn,0,search,bands_indices,plain,gelu,batchnorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,339206,120,0.40636,8.0,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8086091876029968,0.9314948320388794,2.6204021647572517,5.839972198009491,8.529778634969444,0.9514061212539673,0.8645521998405457,0.8505010604858398,0.9583994746208191,0.37787288427352905,0.8489164113998413,4.8002783209085464,3.579998016357422,1.9581545144319534,4.676615074276924,0.34100222401320934,0.3663780866190791,100.0,100.0,100.0,1.0,6.920386397268885e-08,bands_indices_plain_gelu_L3_d512_bn,0,search,bands_indices,plain,gelu,batchnorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,940550,120,0.405166,8.0,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8415843844413757,0.9337251782417297,2.6207810267806053,5.699464678764343,8.718393307320522,0.9510537981987,0.8663741946220398,0.8623929619789124,0.9594855308532715,0.5592390298843384,0.8509521484375,4.874202609062195,3.571143001317978,1.829509623348713,4.703057557344437,0.38339346647262573,0.36338784266263247,100.0,100.0,100.0,1.0,6.848052436225771e-08,bands_indices_plain_gelu_L5_d256_bn,0,search,bands_indices,plain,gelu,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.406607,10.0,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8281599879264832,0.9334760308265686,2.6083560660481453,5.734395608305931,8.618527405086201,0.9513834714889526,0.869951069355011,0.8591806888580322,0.95889812707901,0.4797123074531555,0.8498267531394958,4.843420907855034,3.540893644094467,1.8338041380047798,4.69270795583725,0.38389102555811405,0.355422287248075,100.0,100.0,100.0,1.0,6.976127764346529e-08,bands_indices_plain_gelu_L5_d512_bn,0,search,bands_indices,plain,gelu,batchnorm,5,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,1467910,120,0.404597,10.0,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8352566361427307,0.9320492744445801,2.6924259960651398,5.776781961321831,8.862344587423271,0.9491580724716187,0.8689606189727783,0.862152099609375,0.9568756818771362,0.5311695337295532,0.8432156443595886,4.947938024997711,3.6178316920995712,1.9685465842485428,4.834266006946564,0.3788320813328028,0.4071536008268595,100.0,100.0,100.0,1.0,6.938036989367902e-08,bands_indices_plain_silu_L3_d256_bn,0,search,bands_indices,plain,silu,batchnorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,339206,120,0.407716,7.9,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8172823786735535,0.9301760196685791,2.684006094932556,5.879516899585724,8.630333649062363,0.9489088654518127,0.8634306192398071,0.8536873459815979,0.956825852394104,0.4406742453575134,0.840157687664032,4.925742372870445,3.627593070268631,2.051444910466671,4.755131900310516,0.35086371935904026,0.39326087571680546,100.0,100.0,100.0,1.0,6.946426367449021e-08,bands_indices_plain_silu_L3_d512_bn,0,search,bands_indices,plain,silu,batchnorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,940550,120,0.406675,8.2,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8504505157470703,0.9337689280509949,2.6521941646933556,5.679464340209961,8.812322588583331,0.9505254626274109,0.8673313856124878,0.8648180365562439,0.9588263630867004,0.6097209453582764,0.8514724373817444,4.904768243432045,3.5971499979496,1.8918706104159355,4.754723608493805,0.39100986905395985,0.3736294573172927,100.0,100.0,100.0,1.0,6.976961941518312e-08,bands_indices_plain_silu_L5_d256_bn,0,search,bands_indices,plain,silu,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.40792,10.7,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8576750159263611,0.9329012036323547,2.6439838111400604,5.700532719492912,8.629452461638365,0.950808584690094,0.8662305474281311,0.8611961603164673,0.9573628902435303,0.665277361869812,0.8451644778251648,4.887820780277252,3.597733750939369,1.8858399242162704,4.773904383182526,0.3552118316292763,0.36341072991490364,100.0,100.0,100.0,1.0,6.972369703817094e-08,bands_indices_plain_silu_L5_d512_bn,0,search,bands_indices,plain,silu,batchnorm,5,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,1467910,120,0.40465,9.8,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8196832537651062,0.9302841424942017,2.670206129550934,5.875052884221077,8.817900526701365,0.9495311379432678,0.8648313879966736,0.852238655090332,0.9564318656921387,0.4587826132774353,0.8362755179405212,4.903126880526543,3.572995215654373,1.9342755898833275,4.795542359352112,0.40321708656847477,0.4120649304240942,100.0,100.0,100.0,1.0,6.91912376282744e-08,bands_indices_plain_relu_L3_d256_bn,0,search,bands_indices,plain,relu,batchnorm,3,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,339206,120,0.406241,8.4,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8348395228385925,0.932174801826477,2.6096269488334656,5.77063076198101,8.524693291035529,0.9514263868331909,0.8625058531761169,0.8551733493804932,0.9583663940429688,0.5314196348190308,0.8501370549201965,4.7949086874723434,3.568841516971588,1.9146783277392387,4.697307571768761,0.32034183386713266,0.361700146459043,100.0,100.0,100.0,1.0,6.995303181156487e-08,bands_indices_plain_relu_L3_d512_bn,0,search,bands_indices,plain,relu,batchnorm,3,512,2,0.15,0.0,0.001,0.0001,0.0,False,798,940550,120,0.405739,8.8,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8388311266899109,0.9328001141548157,2.6441792026162148,5.7389214634895325,8.80716999282804,0.9503949284553528,0.8660163879394531,0.8635246753692627,0.9579260349273682,0.5465194582939148,0.8485970497131348,4.9080491065979,3.5914070904254913,1.8029611557722092,4.775059595704079,0.4162964876741171,0.3712933277711272,100.0,100.0,100.0,1.0,6.897625581814282e-08,bands_indices_plain_relu_L5_d256_bn,0,search,bands_indices,plain,relu,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,471814,120,0.406131,11.5,stsearch_ep120_bs2048_pat700_min300_seed42
