model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,head,feature_set,n_features,epochs,elapsed_s
model,0.8439252972602844,0.93030846118927,2.6434922590851784,5.8238063007593155,7.775647286039972,0.9472393989562988,0.8601270914077759,0.8561664819717407,0.9575369954109192,0.5982656478881836,0.8441975116729736,4.9684077501297,3.6937426775693893,1.8979670479893684,4.74746897816658,0.27518109418451786,0.27819047681987286,100.0,100.0,100.0,1.0,6.933838392342295e-08,bi_LBP_plain_silu_L5_d1024_bn,0,v10,ilr_v4,bi_LBP,864,694,78.2
model,0.809958279132843,0.9282945990562439,2.6362327858805656,5.953654274344444,7.737380302494669,0.9455800652503967,0.8609342575073242,0.8593287467956543,0.9550809264183044,0.39824533462524414,0.8405641913414001,5.031940340995789,3.547544777393341,1.8282512202858925,4.871820285916328,0.2442162251099944,0.2936337608844042,100.0,100.0,100.0,1.0,6.937197838396969e-08,bi_LBP_plain_silu_L5_d512_bn,0,v10,ilr_v4,bi_LBP,864,715,75.3
model,0.8666256070137024,0.9313001036643982,2.6143429800868034,5.7463303208351135,8.268234124682284,0.9492495656013489,0.8626418113708496,0.8605706691741943,0.9561406373977661,0.7479923963546753,0.8231463432312012,4.887981340289116,3.5536088049411774,1.850125938653946,4.739012569189072,0.26160506531596184,0.39373780600726604,100.0,100.0,100.0,1.0,6.946426367449021e-08,bi_LBP_residual_silu_L20_d256_bn_lr0.0005,0,v10,ilr_v4,bi_LBP,864,735,342.3
model,0.8521416187286377,0.9316996335983276,2.602887339890003,5.75682669878006,7.741566641764275,0.9525936245918274,0.870862603187561,0.8485373258590698,0.9543406963348389,0.6387518644332886,0.8477466702461243,4.729891940951347,3.620583564043045,1.824631541967392,4.906727373600006,0.2643510699272156,0.27113170363008976,100.0,100.0,100.0,1.0,7.048799943731865e-08,bi_MP_Gabor_plain_silu_L5_d1024_bn,0,v10,ilr_v4,bi_MP_Gabor,996,694,75.5
model,0.8683009743690491,0.9297131896018982,2.6141727343201637,5.787672474980354,7.833089866709966,0.9491823315620422,0.8700215816497803,0.84317946434021,0.9527519345283508,0.7434616088867188,0.8511912822723389,4.835761338472366,3.495326265692711,1.9252397119998932,4.915027692914009,0.24454952217638493,0.2691535046324134,100.0,100.0,100.0,1.0,6.989055378880948e-08,bi_MP_Gabor_plain_silu_L5_d512_bn,0,v10,ilr_v4,bi_MP_Gabor,996,695,96.0
model,0.8452465534210205,0.9322851300239563,2.6692813262343407,5.758146941661835,8.61226351438003,0.950684130191803,0.8724559545516968,0.8597831726074219,0.9554933309555054,0.6029501557350159,0.8301033973693848,4.843348637223244,3.6211922764778137,1.9556587561964989,4.8766035586595535,0.32671766821295023,0.39216126315295696,100.0,100.0,100.0,1.0,6.835708887820147e-08,bi_MP_Gabor_residual_silu_L20_d256_bn_lr0.0005,0,v10,ilr_v4,bi_MP_Gabor,996,665,308.8
model,0.8677904009819031,0.9329613447189331,2.6447780430316925,5.67382238805294,7.985758971379002,0.9517818689346313,0.8732113838195801,0.8490824699401855,0.9562729597091675,0.723693311214447,0.8526833653450012,4.751961305737495,3.5209041088819504,2.0797597244381905,4.940994828939438,0.29914085753262043,0.2758980495855212,100.0,100.0,100.0,1.0,6.899736604282225e-08,bi_LBP_MP_Gabor_plain_silu_L5_d1024_bn,0,v10,ilr_v4,bi_LBP_MP_Gabor,1062,683,76.4
model,0.8425464630126953,0.9284041523933411,2.6690438389778137,5.888277292251587,7.991210402815202,0.946613609790802,0.8675361275672913,0.8520993590354919,0.9520255923271179,0.5847418308258057,0.8522469401359558,5.007874593138695,3.5520613193511963,1.8775494769215584,5.033019185066223,0.25320525746792555,0.29057106003165245,100.0,100.0,100.0,1.0,6.962338261473633e-08,bi_LBP_MP_Gabor_plain_silu_L5_d512_bn,0,v10,ilr_v4,bi_LBP_MP_Gabor,1062,670,74.3
model,0.7917999625205994,0.925062358379364,2.7275919914245605,6.105324625968933,8.295797026771435,0.9449517726898193,0.8690030574798584,0.8360805511474609,0.9510679841041565,0.315476655960083,0.8342107534408569,5.054675415158272,3.624451532959938,1.9577233120799065,5.059397220611572,0.3340351628139615,0.33527121413499117,100.0,100.0,100.0,1.0,7.056644335534656e-08,bi_LBP_MP_Gabor_residual_silu_L20_d256_bn_lr0.0005,0,v10,ilr_v4,bi_LBP_MP_Gabor,1062,723,333.4
model,0.840925931930542,0.9245696663856506,2.717680297791958,6.036412715911865,7.5698194475893406,0.9416007995605469,0.8499113917350769,0.8344552516937256,0.9558120965957642,0.6229857802391052,0.8407763242721558,5.138243734836578,3.7586983293294907,1.9924566149711609,4.878462851047516,0.25542026851326227,0.2827935852110386,100.0,100.0,100.0,1.0,6.300109589574276e-08,bi_LBP_softmax_geglu_L3_h1024,0,v10,softmax_geglu,bi_LBP,864,52,21.6
